epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,2114.36,1.5131,2.66538,1.90539,0.42715,0.17659,0.25018,0.09646,2.38385,3.97648,3.43185,0.0006733,0.0006733,0.0006733
35,2175.38,1.59203,2.66526,1.92399,0.70944,0.14784,0.25566,0.06511,2.67448,3.72865,3.51548,0.0006634,0.0006634,0.0006634
36,2236.37,1.54089,2.72549,1.89762,0.3917,0.35714,0.24191,0.07616,2.73239,3.76742,3.34776,0.0006535,0.0006535,0.0006535
37,2297.55,1.46306,2.51158,1.83818,0.35338,0.1692,0.22595,0.11642,2.43753,3.70002,3.1096,0.0006436,0.0006436,0.0006436
38,2358.7,1.49509,2.60549,1.90915,0.48077,0.14881,0.18611,0.09939,2.0741,3.59694,2.87686,0.0006337,0.0006337,0.0006337
39,2419.89,1.54436,2.60011,1.94757,0.29243,0.29801,0.16963,0.07802,1.9487,3.46104,2.87569,0.0006238,0.0006238,0.0006238
40,2481.3,1.48049,2.5715,1.90653,0.46943,0.14568,0.16248,0.07747,1.90897,3.99129,2.79413,0.0006139,0.0006139,0.0006139
41,2542.72,1.45952,2.46912,1.83364,0.44262,0.23831,0.17379,0.07751,1.99192,3.98923,2.82164,0.000604,0.000604,0.000604
42,2604.24,1.47831,2.48221,1.89926,0.2825,0.22381,0.14306,0.0535,2.01572,3.9343,2.809,0.0005941,0.0005941,0.0005941
43,2665.55,1.45725,2.4542,1.85347,0.42419,0.23647,0.15461,0.04757,2.11673,3.78034,2.89891,0.0005842,0.0005842,0.0005842
44,2726.86,1.44598,2.43928,1.84054,0.42471,0.23492,0.16298,0.04667,2.25675,3.63266,3.0157,0.0005743,0.0005743,0.0005743
45,2788.38,1.54915,2.39531,1.90304,0.37768,0.19599,0.15902,0.04671,2.32949,3.77425,3.05928,0.0005644,0.0005644,0.0005644
46,2850,1.44606,2.33057,1.81763,0.40284,0.22319,0.23135,0.07777,2.24363,3.68965,3.02902,0.0005545,0.0005545,0.0005545
47,2911.36,1.39063,2.30622,1.8193,0.66406,0.14881,0.19092,0.07663,2.02898,3.71205,2.91046,0.0005446,0.0005446,0.0005446
48,2972.34,1.44699,2.40037,1.78973,0.50482,0.16939,0.15742,0.06786,1.95401,3.68858,2.86893,0.0005347,0.0005347,0.0005347
49,3033.38,1.39596,2.18693,1.76889,0.30288,0.12493,0.12775,0.06732,2.00206,3.73741,2.89195,0.0005248,0.0005248,0.0005248
50,3094.38,1.39797,2.22236,1.79222,0.16894,0.14862,0.14753,0.06804,2.02412,3.65926,2.89176,0.0005149,0.0005149,0.0005149
51,3155.62,1.37332,2.25234,1.73914,0.26424,0.15833,0.15741,0.07499,2.09818,3.66497,2.98648,0.000505,0.000505,0.000505
52,3216.78,1.40074,2.20764,1.7822,0.11194,0.3,0.19168,0.08229,2.13902,3.59347,3.06684,0.0004951,0.0004951,0.0004951
53,3277.96,1.32702,2.12053,1.74198,0.3303,0.21775,0.25917,0.08799,2.25427,3.48835,3.17145,0.0004852,0.0004852,0.0004852
54,3339.07,1.33392,2.06528,1.73799,0.36845,0.43979,0.23212,0.07507,2.33608,3.45751,3.35471,0.0004753,0.0004753,0.0004753
55,3400.65,1.43706,2.40355,1.83311,0.5282,0.34048,0.19767,0.06476,2.33163,3.65128,3.34948,0.0004654,0.0004654,0.0004654
56,3461.93,1.38022,2.20096,1.76576,0.12298,0.38007,0.16641,0.07489,2.24933,3.93849,3.24392,0.0004555,0.0004555,0.0004555
57,3523.25,1.37291,2.22819,1.74843,0.10421,0.35714,0.15972,0.07231,2.15363,3.99329,3.11209,0.0004456,0.0004456,0.0004456
58,3584.21,1.38322,2.17866,1.80014,0.29228,0.2036,0.16329,0.07231,2.09498,3.7562,3.01491,0.0004357,0.0004357,0.0004357
59,3645.1,1.31063,2.06421,1.71375,0.46928,0.31548,0.1943,0.07901,2.12194,3.6136,2.97922,0.0004258,0.0004258,0.0004258
60,3706.3,1.274,2.0059,1.671,0.53473,0.33876,0.26041,0.08596,2.14547,3.55469,3.09364,0.0004159,0.0004159,0.0004159
61,3767.6,1.27608,2.12036,1.67245,0.79901,0.1617,0.20619,0.09491,2.14698,3.45641,3.16157,0.000406,0.000406,0.000406
62,3828.68,1.28491,2.0369,1.66715,0.64214,0.21437,0.20207,0.09611,2.08502,3.4519,3.13961,0.0003961,0.0003961,0.0003961
63,3889.96,1.25408,2.00926,1.66574,0.73738,0.18174,0.24676,0.09478,2.08505,3.50668,3.12845,0.0003862,0.0003862,0.0003862
64,3951,1.26462,2.08238,1.69871,0.545,0.15974,0.22116,0.08424,2.09975,3.48685,3.14582,0.0003763,0.0003763,0.0003763
65,4012.15,1.28292,1.96778,1.66864,0.35417,0.19799,0.21413,0.09049,2.18828,3.52629,3.21648,0.0003664,0.0003664,0.0003664
66,4073.06,1.25894,1.98647,1.6813,0.54413,0.16581,0.20993,0.08378,2.2317,3.54292,3.262,0.0003565,0.0003565,0.0003565
67,4133.89,1.18038,1.88685,1.61168,0.34358,0.19048,0.21348,0.08612,2.23142,3.54496,3.24062,0.0003466,0.0003466,0.0003466
